,TV,Radio,Social Media,Influencer,Sales
88,86.0,31.52189727,6.398283645,Mega,304.74377480000004
89,93.0,33.05945096,5.78929841,Micro,335.2090696
90,30.0,10.64510759,1.915517115,Macro,104.1809671
91,32.0,0.758066665,2.359200238,Mega,112.269694
92,29.0,2.172596338,4.208324504,Mega,103.63486590000001
93,72.0,25.40659637,3.215455403,Micro,262.4011715
94,14.0,8.001265854,4.18783431,Micro,51.44298395
95,95.0,38.41522497,7.673636553,Micro,336.7606331
96,20.0,3.9347834880000003,0.328469804,Nano,72.62590273
97,49.0,24.35904434,3.7973672869999997,Nano,174.1981389
98,29.0,11.21368878,0.55883658,Macro,98.99963768
99,,7.635819371,1.554145839,Macro,56.18672988
100,39.0,13.18725635,2.766352269,Macro,140.41528590000001
101,87.0,33.70789822,3.3272727189999998,Nano,309.36166810000003
102,38.0,9.437711712999999,4.377587812,Mega,133.5654887
103,43.0,9.726736048,0.33799822700000004,Macro,152.2546677
104,30.0,8.421994731,3.279480595,Macro,112.3081088
105,93.0,19.95638677,2.261406312,Mega,333.5791129
106,86.0,25.26070742,6.765663893999999,Nano,307.6190894
107,63.0,26.03598627,3.2908168860000004,Nano,225.4862319
108,93.0,28.03820883,2.924281836,Nano,333.9664321
109,94.0,32.14620508,4.61092529,Macro,334.6459156
110,63.0,21.84654391,2.64241023,Macro,222.4683071
111,30.0,17.46901907,4.337634178,Nano,105.18531229999999
112,18.0,7.291955516,2.317959067,Micro,62.31766345
113,24.0,3.426021221,0.00317676,Micro,86.11553566
114,56.0,14.88018119,2.367556821,Macro,197.225133
115,40.0,17.42884965,3.306706147,Macro,143.8359148
116,74.0,29.56295098,2.060719698,Micro,263.105633
117,52.0,14.56589504,1.9982183999999998,Mega,182.98601430000002
118,74.0,20.22086793,4.5409045180000005,Macro,267.7373384
119,,30.47048529,6.8069189670000005,Micro,336.8186903
120,70.0,15.354189300000002,1.049369556,Micro,250.75138790000003
121,99.0,33.87824351,8.091610987000001,Mega,356.5821434
122,42.0,15.21523612,1.501445964,Nano,145.2164746
123,85.0,31.79693826,2.16250238,Mega,303.397391
124,38.0,8.872274678,1.6052134040000001,Macro,132.3443679
125,30.0,15.43267247,3.9865702000000005,Macro,104.5039262
126,49.0,21.03218038,5.0870169569999995,Micro,174.5641128
127,27.0,6.447508155,1.4156382490000001,Mega,96.43343282
128,30.0,4.5613121560000005,1.6527596230000001,Mega,104.1503565
129,100.0,36.57380821,5.273156173,Mega,354.7973747
130,21.0,1.380311071,5.286680958,Mega,80.94072509
131,38.0,18.90360911,4.889993447,Macro,131.1015188
132,39.0,9.722746017,0.903060425,Micro,135.5443199
133,14.0,4.828279786,0.28603859,Micro,49.18778559
134,40.0,18.378401,1.320080106,Mega,141.3801238
135,33.0,17.44947546,0.887761603,Macro,119.3308074
136,88.0,26.00963987,1.4956007619999998,Nano,321.0466894
137,67.0,28.48182095,1.520803886,Mega,240.40275809999997
138,65.0,20.06155575,3.529274197,Nano,226.9989318
139,95.0,30.73728576,8.980234377,Micro,341.4281402
140,95.0,36.42230623,9.997472195,Nano,335.3014311
141,,9.164463979,1.096681429,Macro,65.25918923
142,77.0,31.6532001,7.776978402999999,Nano,273.9603772
143,70.0,21.43851856,5.708104983999999,Mega,249.3019048
144,34.0,16.19365273,0.7922030390000001,Mega,117.0546557
145,59.0,13.45217597,1.50308216,Macro,208.7495053
146,30.0,12.1555835,0.932529328,Macro,106.0995933
147,68.0,22.38968684,1.506105779,Micro,243.08166319999998
148,43.0,8.573864534,3.2983621569999997,Micro,156.95375190000001
149,18.0,8.477135293,0.608817354,Mega,61.70848657
150,84.0,33.955619299999995,4.479871088,Nano,299.3466037
151,61.0,28.38518716,6.157704568,Micro,222.45076009999997
152,24.0,11.88643795,1.558209074,Micro,82.54907175
153,41.0,8.715248317999999,0.18146648899999998,Nano,144.5920869
154,67.0,18.30464111,4.895171905,Micro,234.021177
155,51.0,24.00692574,4.152022007,Nano,183.3277351
156,100.0,36.73413489,7.359714283,Micro,354.1039697
157,44.0,18.94795499,2.2298138180000002,Micro,160.5796388
158,10.0,0.758569411,0.5278808629999999,Nano,35.54799802
159,21.0,1.397371107,1.4445911319999998,Nano,77.54794767
160,32.0,5.471955572000001,0.6729644570000001,Micro,110.3748636
161,98.0,31.36391464,5.657550436,Nano,351.4266721
162,39.0,4.856123013,0.8741632559999999,Macro,131.07725449999998
163,,38.1184237,6.6766114210000005,Micro,328.5551842
164,40.0,19.63906306,0.795725948,Micro,146.1456862
165,44.0,19.01537456,6.543306951,Mega,153.58222560000002
166,49.0,24.87104934,5.036281432,Nano,174.9861639
167,78.0,30.11726533,3.357794085,Macro,278.955153
168,49.0,20.42365468,4.346777363999999,Mega,178.3746767
169,55.0,22.37478299,5.0665778569999995,Mega,197.0111372
170,73.0,22.86737608,0.9689842259999999,Nano,261.0908818
171,58.0,17.39877506,4.007447145,Nano,204.09903500000001
172,82.0,23.43478708,5.914866129,Micro,288.0207452
173,27.0,10.33353047,1.130122514,Macro,97.61236339
174,94.0,29.34460985,3.436481014,Mega,336.3726161
175,69.0,23.29045109,5.671686076,Mega,245.97996099999997
176,94.0,37.09705521,7.596290451000001,Nano,334.643793
177,70.0,23.80856837,3.7666030389999996,Micro,246.49479879999998
178,88.0,27.46149343,1.524062069,Macro,312.14296349999995
179,64.0,23.08148805,3.0562981280000003,Macro,219.5681841
180,39.0,11.78254265,2.956726836,Micro,138.37530780000003
181,99.0,37.73241144,7.72405273,Macro,349.0483366
182,81.0,26.42542193,,Macro,288.649441
183,,1.287060452,0.396178735,Macro,56.54529263
184,25.0,0.41384939200000004,,Macro,92.35709194
185,94.0,30.49815694,8.823311925,Macro,331.48409350000003
186,73.0,25.34020889,,Mega,258.3589687
187,36.0,8.840112507,0.9629416679999999,Nano,125.38706450000001
188,78.0,26.40676494,2.475101624,Macro,271.0264376
189,89.0,29.68238385,,Macro,320.26439730000004
190,44.0,6.313173395,1.310027864,Macro,152.8312537
191,79.0,27.88320654,7.467941688,Nano,282.74809849999997
192,41.0,13.14265735,,Nano,142.6268646
193,26.0,15.26673306,2.205879856,Macro,88.96782897
194,17.0,8.197932469,2.119872253,Mega,63.25378214
195,34.0,12.66039824,,Mega,117.1141409
196,13.0,8.077501591,0.013230147,Nano,48.30375112
197,98.0,,6.399729574,Nano,345.95283839999996
198,12.0,3.556576557,0.36001491399999996,Micro,37.24327179
199,11.0,3.7852546539999996,1.569644569,Micro,45.55251127
200,89.0,,4.535458014,Micro,316.7256236
201,39.0,13.22123736,3.6605661260000004,Micro,135.7731514
202,86.0,27.14817277,4.409399375,Nano,308.3930492
203,22.0,,4.1325255610000005,Macro,78.03149813
204,76.0,26.19267329,4.127600897,Macro,269.60300589999997
205,33.0,13.36586735,0.012138363000000001,Macro,116.2374967
206,12.0,,1.2300261670000001,Micro,50.00921016
207,83.0,28.40915338,4.085216067,Micro,292.857168
208,77.0,25.59837924,5.514786646,Nano,
209,37.0,10.25291621,0.86532872,Nano,135.5300789
210,,17.00707465,5.199634828,Macro,208.8163817
211,92.0,16.70376892,1.888403291,Macro,325.5137107
212,100.0,32.920194,9.904286083999999,Nano,357.1245732
213,94.0,30.37270595,5.94611293,Mega,334.0892379
214,100.0,36.46675337,5.635992458,Mega,
215,27.0,3.438824491,0.749518789,Mega,97.50795879
216,53.0,19.04450325,2.715095722,Macro,191.61804019999997
217,73.0,28.4645976,5.545684409,Mega,256.42522579999996
218,78.0,26.39407008,3.83736988,Mega,279.5906387
219,59.0,25.68728652,6.903109247000001,Macro,209.89565380000002
220,44.0,15.72633981,5.470316628,Mega,159.6309441
221,74.0,24.22063365,0.285897607,Micro,
222,82.0,33.67469531,8.243045066,Nano,290.01984780000004
223,47.0,14.16232438,4.388114516,Nano,170.1261872
224,22.0,3.598474281,4.325620528,Micro,78.81257166
225,78.0,24.89028294,3.531093274,Macro,277.0940713
226,19.0,8.726782673999999,0.49783849,Mega,
227,15.0,9.809647258,2.175099221,Macro,51.15173712
228,78.0,36.13477932,6.8125289360000005,Micro,275.8154126
229,63.0,19.10204333,4.773049696,Micro,225.79171499999998
230,45.0,12.22739961,1.306053839,Nano,162.3039063
231,22.0,6.809751696,0.011450525,Macro,
232,31.0,8.843924649,0.104810858,Micro,111.12774879999999
233,23.0,2.201752448,0.376547887,Nano,80.45443519
234,19.0,4.894410734,0.14719602699999998,Macro,69.99070666
235,40.0,11.90789251,1.958036191,Nano,138.6769979
236,27.0,1.384415461,2.39812919,Nano,
237,35.0,5.392624287,0.020639976,Macro,118.50115670000001
238,63.0,20.77468172,6.259153285,Micro,229.09032369999997
239,78.0,23.80959139,1.9150470919999998,Nano,276.9190626
240,91.0,22.27671374,3.2900798210000004,Mega,322.66776519999996
241,44.0,16.60931402,5.15906663,Mega,157.490072
242,16.0,12.25135762,1.463118167,Mega,56.81533661
243,40.0,12.7084063,5.838251913,Nano,139.792394
244,60.0,21.43888957,3.1477514039999996,Nano,212.16911890000003
245,49.0,16.31903668,0.463311511,Micro,177.50255090000002
246,71.0,26.02394936,3.116428483,Mega,253.9861099
247,59.0,21.27291211,3.385121455,Nano,215.90548230000005
248,92.0,33.29585958,1.229454172,Macro,327.65364389999996
249,60.0,19.01558716,5.895165277,Mega,214.45761380000002
250,28.0,10.93200857,1.867646115,Nano,97.20055286
251,29.0,9.197032332000001,3.2466677269999997,Micro,99.10933661
252,97.0,31.70701011,4.365166691000001,Nano,347.1547599
253,11.0,9.398839224,3.206508472,Mega,41.35123045
254,49.0,13.76198317,2.502653025,Nano,173.1550912
255,38.0,4.338843042,0.028073247000000003,Mega,139.8343646
256,18.0,12.38447814,1.637157501,Nano,65.125304
257,42.0,10.01903472,0.19109371100000003,Nano,152.9496029
258,76.0,32.31926372,6.494517857999999,Mega,270.63785110000003
259,86.0,29.91962703,6.312902997999999,Mega,303.6096465
260,70.0,30.47388738,5.7043603670000005,Nano,248.0514829
261,69.0,24.36246064,5.463176008,Macro,239.7328932
262,47.0,14.59516994,0.573235814,Nano,162.1479537
263,46.0,17.87483166,3.918941935,Micro,167.53322590000002
264,98.0,33.5556744,5.401715328,Micro,343.70470689999996
265,63.0,18.31721305,5.106410106,Mega,222.4538087
266,66.0,15.81007671,0.495169721,Mega,229.5582512
267,76.0,21.43025018,3.608351353,Nano,269.03732610000003
268,12.0,12.84827976,2.810375342,Nano,42.65152205
269,75.0,38.27143199,8.586450249,Micro,263.5238127
270,85.0,25.24181707,5.969538042000001,Nano,296.24859960000003
271,12.0,3.188668313,0.276135877,Nano,46.84859882
272,90.0,33.5117751,4.663526779,Macro,322.46975560000004
273,88.0,35.4551909,4.091396616,Macro,312.31076980000006
274,35.0,18.81472652,3.0414687469999997,Mega,123.95214109999999
275,89.0,26.11806108,4.0200191069999995,Nano,320.5882954
276,54.0,22.45001505,3.389499568,Nano,188.8286445
277,16.0,1.0950546970000001,1.784711655,Mega,55.33417257
278,98.0,32.07909439,4.158338823999999,Mega,342.65222819999997
279,23.0,7.989787362,0.5089550589999999,Mega,84.70733843
280,93.0,33.74742661,2.79805324,Mega,333.07736969999996
281,52.0,17.45288044,3.909853584,Nano,188.1163762
282,27.0,8.301393097,0.297735659,Mega,98.16192205
283,13.0,5.358821718,3.103557138,Nano,47.50814092
284,83.0,21.93601248,4.436259637,Micro,294.4933353
285,66.0,21.57823348,8.87423765,Macro,231.9942926
286,19.0,7.7895072270000005,4.06782199,Macro,62.0795245
287,85.0,23.77346122,4.542661031000001,Mega,304.90421519999995
288,63.0,19.71906624,5.481915242,Nano,220.7061299
289,62.0,25.07908112,5.066101233,Nano,225.46952599999997
290,45.0,15.53732896,0.12581320599999998,Mega,157.6872981
291,23.0,6.621635323,0.113631173,Mega,79.93998662
292,50.0,11.36398701,2.32129586,Mega,185.3102927
293,60.0,19.49995648,4.912336165,Macro,216.2681567
294,25.0,13.00455149,5.277124393999999,Micro,91.95954527
295,31.0,12.22596591,0.397207276,Macro,111.14310619999999
296,77.0,21.03196536,1.86728813,Micro,275.38867339999996
297,27.0,9.235845656,2.963209488,Nano,93.35175941
298,77.0,25.58343965,3.870991902,Macro,276.0838978
299,95.0,25.54636769,1.963490079,Micro,333.36825469999997
300,48.0,25.37723103,3.997027881,Micro,172.88545919999999
301,14.0,4.643175727,0.6373757879999999,Micro,53.97461493
302,24.0,4.014313143,1.258968767,Macro,91.49656896
303,65.0,23.29031005,7.3898277310000005,Mega,229.1969742
304,35.0,9.531452188,0.10350355300000001,Nano,125.3393415
305,86.0,24.29320314,8.041212299,Micro,306.6065875
306,48.0,14.41875328,3.1174135360000004,Nano,170.2833159
307,59.0,19.34086431,1.6023405119999998,Micro,210.57177030000003
308,88.0,26.30065656,4.204039947,Nano,314.18054720000003
309,78.0,23.32245121,3.866739527,Mega,280.83162389999995
310,79.0,31.05740864,3.8069527610000002,Micro,286.677508
311,22.0,1.060644401,1.093882341,Macro,73.09318596
312,46.0,17.61333015,3.4804296939999997,Macro,160.6150905
313,83.0,23.77898268,2.9306811919999998,Micro,295.49152710000004
314,26.0,12.10537618,4.007434704,Macro,94.00245512
315,34.0,2.089999917,0.21775211600000002,Nano,123.1219261
316,50.0,3.497200302,3.337071447,Nano,174.7450326
317,79.0,19.15584406,0.014711851000000001,Macro,281.5928898
318,75.0,25.27194402,7.717105296000001,Nano,267.8036097
319,32.0,13.45746031,0.91765612,Mega,116.7838444
320,29.0,9.487993612999999,0.25043284899999996,Micro,105.77670790000002
321,96.0,36.72307745,3.950392592,Nano,343.0877465
322,74.0,27.96329539,2.837584957,Nano,258.3754265
323,49.0,20.26585723,3.446132597,Micro,171.85666750000001
324,34.0,16.85678293,3.886005263,Mega,118.91638359999999
325,37.0,12.22871601,1.749290106,Mega,129.0148388
326,37.0,8.823525102,3.405839489,Mega,132.54961459999998
327,59.0,15.29205006,3.3404362069999998,Macro,208.2744516
328,48.0,14.11561705,3.328378357,Mega,175.5461581
329,80.0,24.55463481,4.8323257989999995,Micro,285.5962329
330,28.0,5.313706473,2.473598787,Nano,91.49752891
331,64.0,25.52828252,3.1408700360000004,Nano,226.276965
332,50.0,21.17480421,4.486404533,Macro,180.3195365
333,46.0,18.54842127,2.45558294,Nano,164.7562034
334,86.0,24.78624404,6.349962293,Mega,309.20432739999995
335,69.0,29.59440206,8.243715012000001,Nano,246.091519
336,85.0,29.50102223,2.5182221119999997,Mega,300.5584458
337,52.0,9.837592492999999,2.080182174,Macro,183.7118744
338,54.0,17.44304527,5.549219531,Nano,191.0034733
339,17.0,2.2492038119999997,0.395150251,Nano,61.86530832
340,93.0,26.50281649,3.5376186119999997,Mega,331.6478588
341,85.0,24.48397916,5.918985615,Micro,297.0564909
342,21.0,1.505943316,2.438904189,Mega,73.87341975
343,88.0,37.96929695,4.739682162,Macro,314.311367
344,75.0,29.484234700000002,7.237783972000001,Nano,268.7997822
345,38.0,3.046308751,1.743629417,Macro,132.3260378
346,95.0,36.36570198,1.944664898,Macro,339.115278
347,46.0,25.28199938,2.798757505,Mega,163.6396214
348,75.0,26.07549862,5.143706423,Mega,269.4449939
349,64.0,10.93089931,3.0853750730000002,Mega,225.0640548
350,35.0,8.978475946,0.05362699,Nano,125.3289243
351,30.0,6.122317862999999,2.606806497,Mega,104.5246807
352,86.0,27.73800583,5.293540405,Macro,307.8933318
353,79.0,23.18345295,0.762159967,Nano,282.7108546
354,16.0,16.92417111,6.4474763489999996,Nano,54.65466518
355,63.0,22.81607513,4.717042117,Nano,228.42413050000002
356,78.0,22.76810931,2.9641016810000003,Micro,277.3993307
357,24.0,12.79448447,3.9731629980000003,Nano,86.22925533
358,34.0,14.44535454,1.2702839670000001,Nano,124.595707
359,36.0,14.75867975,0.807413059,Micro,125.0736865
360,64.0,17.61714144,5.116676896,Micro,228.5424705
361,79.0,37.37903665,4.767527236,Macro,281.11479249999996
362,11.0,7.2283544079999995,5.250181854,Micro,46.52969738
363,22.0,5.120816808,2.205299711,Micro,74.74160402
364,46.0,3.1598299360000004,4.261809686,Nano,161.18295469999998
365,49.0,15.44552256,0.062410122,Mega,174.55676100000002
366,39.0,8.437964502,2.9263668910000002,Mega,141.5900868
367,38.0,0.857280644,0.218739353,Nano,137.69736899999998
368,23.0,4.037914202,2.876505548,Micro,78.65146156
369,17.0,8.482697909,0.946148453,Nano,58.92532301
370,57.0,17.50937376,3.9129104860000004,Macro,204.45338059999997
371,24.0,8.822604644,0.388314589,Mega,86.78602638
372,38.0,13.97381157,2.937255499,Nano,133.38762690000001
373,55.0,13.23675142,0.603918273,Mega,199.1316965
374,84.0,27.93352343,3.978525877,Macro,300.5678307
375,23.0,3.424421953,1.254887329,Nano,82.71102545
376,25.0,21.57160034,0.182594127,Micro,89.09324509999999
377,61.0,24.02670153,4.468540013999999,Macro,214.50673840000002
378,92.0,36.2813941,7.693023889,Mega,334.2548231
379,52.0,14.71875781,5.067918073,Micro,184.2832675
380,42.0,25.04344301,7.954162783999999,Macro,151.1302268
381,87.0,26.26344606,4.66625435,Mega,314.0867756
382,23.0,3.5110584830000002,1.668667492,Nano,82.1296575
383,16.0,1.1142156140000001,0.124305507,Micro,55.74975786
384,97.0,31.59758582,6.09616703,Macro,345.6002412
385,83.0,22.12318389,4.548473435,Mega,301.0213397
386,32.0,7.235169671,4.165978174,Micro,114.2225515
387,81.0,30.51678552,4.253765851,Mega,286.3361747
388,81.0,35.74400862,8.48557931,Mega,290.1991827
389,32.0,9.445032076,0.9047104140000001,Nano,115.3592435
390,24.0,11.04100773,0.5818032329999999,Nano,82.90996955
391,93.0,28.27465769,2.404138725,Mega,328.32173430000006
392,52.0,20.59744192,5.687517289,Mega,183.61200119999998
393,21.0,2.027718364,0.54277143,Nano,70.90876724
394,15.0,7.888210849,3.998362072,Macro,53.54400783
395,62.0,19.93974943,1.581668395,Mega,222.46924769999998
396,45.0,14.76514666,4.973730488999999,Mega,159.81159530000002
397,84.0,29.28103583,4.1823465230000005,Micro,300.75393310000004
398,12.0,8.46670897,4.076583625,Mega,41.86991628
399,66.0,23.16259764,2.051333546,Mega,238.3714378
400,71.0,21.68478521,4.362889043,Mega,253.46132769999997
401,30.0,2.763161925,1.491292036,Nano,108.70799009999999
402,96.0,36.13679466,8.724352447000001,Nano,340.79798189999997
403,81.0,36.01062277,9.307983043,Micro,291.8702502
404,61.0,13.62383917,1.081630027,Mega,218.7967423
405,88.0,31.2965668,6.268563747000001,Nano,312.2336302
406,95.0,25.72170247,3.653918832,Micro,338.7265651
407,32.0,17.77874558,6.010796578,Macro,108.8352652
408,23.0,3.1591491460000003,1.838038355,Mega,84.46857638
409,19.0,11.84308384,1.4117445290000001,Macro,63.78917282
410,99.0,35.30814816,8.233628806,Macro,347.8821393
411,21.0,17.72849806,1.316670346,Micro,72.79319186
412,83.0,22.64766991,1.815303053,Macro,294.37293289999997
413,34.0,9.529038854,0.046324514000000004,Macro,122.398031
414,65.0,21.82868204,3.852364912,Macro,226.0680983
415,42.0,11.66685228,3.124114188,Nano,147.6703206
416,28.0,11.74288588,1.545790536,Nano,108.65424109999998
417,84.0,23.15883778,6.493394974,Macro,301.9796888
418,74.0,31.20063184,5.956147637999999,Macro,262.00000869999997
419,58.0,31.49936776,5.37443682,Micro,203.0578945
420,63.0,21.7928057,0.393588978,Nano,223.84189469999998
421,46.0,21.95980933,0.8805932340000001,Micro,164.791014
422,51.0,24.91648619,4.628289393,Mega,180.3746086
423,42.0,9.352963721,0.6061266470000001,Mega,146.35778530000002
424,98.0,31.2897755,4.623306125,Nano,343.9400859
425,18.0,10.13781443,3.181971706,Macro,66.54840294
426,72.0,19.46438929,1.767531142,Nano,258.01783650000004
427,90.0,29.94190176,8.348998109,Mega,320.7153444
428,47.0,13.85470607,3.72361948,Macro,167.0873958
429,11.0,15.25965583,1.938091205,Micro,42.71995548
430,59.0,13.0213872,3.264331675,Micro,211.0777734
431,49.0,15.75874251,1.621958375,Macro,173.09911719999997
432,51.0,23.28772776,6.650243242,Mega,178.2981283
433,49.0,23.08245994,5.745417559,Macro,173.7272456
434,88.0,25.7813623,5.715407905,Macro,313.6573391
435,49.0,15.441920800000002,0.064057634,Mega,175.73082680000002
436,21.0,5.092818753,1.400162555,Mega,81.00013719
437,84.0,33.49221879,9.638966346,Nano,297.48681650000003
438,13.0,4.027757616000001,0.21628652399999998,Micro,44.06889906
439,55.0,11.31363936,1.457213766,Nano,192.8000619
440,73.0,18.96636214,4.058402635,Mega,260.89044759999996
441,47.0,19.83138083,2.825675852,Micro,170.97933600000002
442,34.0,16.279259699999997,5.187613793,Macro,119.4727749
443,98.0,26.23075658,4.307673455,Mega,347.5747397
444,72.0,29.40183996,0.883780673,Micro,255.2829028
445,59.0,28.35102374,6.541167803,Macro,210.39987069999998
446,88.0,33.99232228,5.781691282000001,Mega,311.60775160000003
447,94.0,31.21314927,6.894316975,Nano,334.32057569999995
448,55.0,13.72729882,3.332910977,Nano,201.1568419
449,23.0,10.72553038,0.564039183,Nano,80.78641866
450,63.0,16.10084562,3.055372489,Micro,224.1978986
451,31.0,7.047015203,4.181179206,Nano,107.97279099999999
452,29.0,11.53545476,3.91664274,Micro,103.88232370000001
453,100.0,38.47062883,5.793620023,Macro,358.35053860000005
454,21.0,6.286843929,0.13183582,Macro,71.40097342
455,15.0,0.388039549,1.104823047,Macro,52.03837385
456,63.0,13.47689876,3.355966243,Macro,226.1354247
457,43.0,27.20006849,8.702652377,Mega,153.6567212
458,97.0,42.33165435,8.486323788,Mega,348.39273629999997
459,19.0,9.057538981,1.4800354130000002,Macro,69.36480656
460,100.0,32.40065311,3.7841453310000004,Nano,355.0516262
461,62.0,11.56312736,1.926692956,Mega,220.60924210000002
462,37.0,7.258206803999999,4.58201222,Nano,131.7305548
463,88.0,25.02655962,4.1339968119999995,Nano,314.9454726
464,33.0,8.177614367,3.447205649,Nano,119.40058459999999
465,37.0,5.264623343,2.531732224,Nano,130.9591588
466,66.0,23.915395800000002,3.9554804439999995,Mega,240.6929268
467,79.0,20.55638571,2.57738922,Macro,281.2953957
468,67.0,27.53356057,10.45392075,Macro,242.58737059999999
469,43.0,14.10622944,0.750124734,Macro,146.53211159999998
470,61.0,27.24136991,4.2504223439999995,Nano,214.43673760000001
471,81.0,30.66125373,7.211115245,Micro,291.14355710000007
472,17.0,8.797291422,2.409158219,Macro,61.21910758
473,90.0,25.22566644,3.061937926,Micro,321.07011370000004
474,16.0,5.735731245,2.354334527,Macro,58.20951843
475,68.0,19.77617983,3.2176324339999995,Micro,240.80300930000004
476,90.0,32.72547832,8.829536236000001,Mega,319.4375263
